title,date,link,source,statistical_claim,policy_frame
Warm Home Discount Scheme,NA,https://www.gov.ukNA,GOV.UK,NA,NA
Warm Home Discount statistics,2025-06-26,https://www.gov.ukNA,GOV.UK,NA,NA
"Warm Home Discount statistics, 2023 to 2024",2025-06-26,https://www.gov.ukNA,GOV.UK,NA,NA
Warm Home Discount statistics: methodology,2025-06-26,https://www.gov.ukNA,GOV.UK,NA,NA
Warm Home Discount statistics: methodology,2025-06-26,https://www.gov.ukNA,GOV.UK,NA,NA
"Expanding the Warm Home Discount Scheme, 2025 to 2026: consultation document (accessible webpage)",2025-06-19,https://www.gov.ukNA,GOV.UK,NA,NA
"Warm Home Discount statistics, 2024 to 2025",2025-06-26,https://www.gov.ukNA,GOV.UK,NA,NA
Check if you're eligible for the Warm Home Discount,NA,https://www.gov.ukNA,GOV.UK,NA,NA
"Warm Home Discount statistics, 2023 to 2024",2025-06-26,https://www.gov.ukNA,GOV.UK,NA,NA
"Warm Home Discount statistics, 2022 to 2023 (HTML)",2023-07-27,https://www.gov.ukNA,GOV.UK,NA,NA
Millions more families to get Â£150 off energy bills this winter,2025-06-19,https://www.gov.ukNA,GOV.UK,NA,NA
DESNZ: Warm Home Discount Eligibility - Energy Cost Modelling,2025-03-02,https://www.gov.ukNA,GOV.UK,NA,NA
Establishing eligibility under the Warm Home Discount: privacy notice,2025-01-27,https://www.gov.ukNA,GOV.UK,NA,NA
Help with your energy bills,NA,https://www.gov.ukNA,GOV.UK,NA,NA
"Warm Home Discount statistics, 2024 to 2025",2025-06-26,https://www.gov.ukNA,GOV.UK,NA,NA
Expanding the Warm Home Discount Scheme 2025 to 2026: CFP response,2025-04-17,https://www.gov.ukNA,GOV.UK,NA,NA
Contacting the Warm Home Discount helpline: privacy notice,2023-02-14,https://www.gov.ukNA,GOV.UK,NA,NA
Extra energy bill support for the country,2025-02-25,https://www.gov.ukNA,GOV.UK,NA,NA
"Warm Home Discount statistics, 2022 to 2023",2023-07-27,https://www.gov.ukNA,GOV.UK,NA,NA
Warm Home Discount: better targeted support from 2022: CFP response to the BEIS consultation,2021-10-04,https://www.gov.ukNA,GOV.UK,NA,NA
"Expanding the Warm Home Discount Scheme, 2025 to 2026",2025-06-19,https://www.gov.ukNA,GOV.UK,NA,NA
Households urged to check eligibility for winter support schemes,2024-11-01,https://www.gov.ukNA,GOV.UK,NA,NA
Warm Home Discount eligibility checker: privacy notice,2022-11-14,https://www.gov.ukNA,GOV.UK,NA,NA
"CFP response to the consultation on expanding the Warm Home Discount Scheme, 2025 to 2026",2025-04-17,https://www.gov.ukNA,GOV.UK,NA,NA
Warm Home Discount: Committee on Fuel Poverty response to BEIS consultation,2021-07-02,https://www.gov.ukNA,GOV.UK,NA,NA
Policy impacts on prices and bills,2014-11-06,https://www.gov.ukNA,GOV.UK,NA,NA
Helping consumers with energy,2013-10-31,https://www.gov.ukNA,GOV.UK,NA,NA
"Warm Home Discount evaluation, 2010 to 2015",2018-03-30,https://www.gov.ukNA,GOV.UK,NA,NA
"Warm Home Discount: eligibility statement (England and Wales), 2023 to 2024 scheme year onward",2023-09-12,https://www.gov.ukNA,GOV.UK,NA,NA
"Warm Home Discount: eligibility statement (England and Wales), 2024 to 2025 scheme year onward",2024-09-10,https://www.gov.ukNA,GOV.UK,NA,NA
